full_name,first_name,last_name,number
PiergiuseppePerini,Piergiuseppe,Perini,3883042241
RicciottiPignatti,Ricciotti,Pignatti,3427219654
SanteFavata,Sante,Favata,3519703355
LetiziaPoerio,Letizia,Poerio,3533242305
MichelaAlfieri,Michela,Alfieri,3429690204
BartolomeoMaderna,Bartolomeo,Maderna,3391915121
AmletoLombroso,Amleto,Lombroso,3734737881
FederigoPiane,Federigo,Piane,3516514391
LucreziaPetrucci,Lucrezia,Petrucci,3805342762
GianmarcoNordio,Gianmarco,Nordio,3711973519
EvangelistaGagliardi,Evangelista,Gagliardi,3880310724
LandoGaggini,Lando,Gaggini,3611150562
GioffreVisconti,Gioffre,Visconti,3500060260
UbaldoQuasimodo,Ubaldo,Quasimodo,3533095755
SeverinoPietrangeli,Severino,Pietrangeli,3496549058
DionigiIannelli,Dionigi,Iannelli,3465254146
GastoneAgostini,Gastone,Agostini,3278365525
EnzioVisconti,Enzio,Visconti,3660493209
SophiaVecellio,Sophia,Vecellio,3514838220
GiacobbePorzio,Giacobbe,Porzio,3511312803
AngelicaTraversa,Angelica,Traversa,3888559320
MarissaGalvani,Marissa,Galvani,3378686918
MarcoProietti,Marco,Proietti,3828624701
MorenaPiacentini,Morena,Piacentini,3404384505
ConcettaCimarosa,Concetta,Cimarosa,3505638204
AmletoBalbo,Amleto,Balbo,3443698222
SalviNicoletti,Salvi,Nicoletti,3622054816
StellaCastiglione,Stella,Castiglione,3757562897
RosariaFalcone,Rosaria,Falcone,3701111745
LucreziaParisi,Lucrezia,Parisi,3834257412
AlderanoVillarosa,Alderano,Villarosa,3311324983
NinoCociarelli,Nino,Cociarelli,3234362962
VincentioMaglio,Vincentio,Maglio,3683959482
AntonioMoresi,Antonio,Moresi,3772359096
GaetanoBotta,Gaetano,Botta,3383922351
SalviGangemi,Salvi,Gangemi,3473562469
AngelinaSchiavone,Angelina,Schiavone,3510126867
StellaFermi,Stella,Fermi,3351554343
BaccioBaresi,Baccio,Baresi,3517255726
NicolòTrebbi,Nicolò,Trebbi,3682061100
GioffreMorrocco,Gioffre,Morrocco,3778549126
AtenulfSokolov,Atenulf,Sokolov,3271938399
RembrandtMimun,Rembrandt,Mimun,3914259449
GionataVenturi,Gionata,Venturi,3770078063
GelsominaMantegazza,Gelsomina,Mantegazza,3221899927
GioeleTognazzi,Gioele,Tognazzi,3362000049
RomoloPisano,Romolo,Pisano,3505973226
AntoninaFlaiano,Antonina,Flaiano,3825229501
AnnamariaPerozzo,Annamaria,Perozzo,3792473331
PierangeloMontesano,Pierangelo,Montesano,3918584946
AuroraPincherle,Aurora,Pincherle,3711504540
FedericoSgalambro,Federico,Sgalambro,3314836094
ArturoStucchi,Arturo,Stucchi,3377766165
GiustinoCilea,Giustino,Cilea,3520888296
FabrizioComboni,Fabrizio,Comboni,3716835696
LuisaPerozzo,Luisa,Perozzo,3349613093
